Time,BG,CGM,CHO,insulin,LBGI,HBGI,Risk
2018-01-01 23:01:00,153.36784318230482,0.0,0,0.0,0.0,3.3498147539827148,3.3498147539827148
2018-01-01 23:02:00,152.26271167007337,0.0,0,0.0,0.0,3.194818614282211,3.194818614282211
2018-01-01 23:03:00,151.26476759198613,164.8061893962063,0,0.0,0.0,3.057088427223815,3.057088427223815
2018-01-01 23:04:00,150.36070838564981,164.8061893962063,0,[0.02459167],0.0,2.934185930489763,2.934185930489763
2018-01-01 23:05:00,149.53926130345096,164.8061893962063,0,[0.02459167],0.0,2.8240871299749393,2.8240871299749393
2018-01-01 23:06:00,148.79083732874653,161.97921084106582,0,[0.02459167],0.0,2.725103607377955,2.725103607377955
2018-01-01 23:07:00,148.10724526327456,161.97921084106582,0,[0.04295],0.0,2.635819562114203,2.635819562114203
2018-01-01 23:08:00,147.48145505072043,161.97921084106582,0,[0.04295],0.0,2.5550412798353124,2.5550412798353124
2018-01-01 23:09:00,146.90740091184165,159.53543467406914,0,[0.04295],0.0,2.4817563687117827,2.4817563687117827
2018-01-01 23:10:00,146.37981676603223,159.53543467406914,0,[0.00573333],0.0,2.415100700528277,2.415100700528277
2018-01-01 23:11:00,145.89409886374756,159.53543467406914,0,[0.00573333],0.0,2.3543315696686897,2.3543315696686897
2018-01-01 23:12:00,145.44619287253136,157.39913187225378,0,[0.00573333],0.0,2.2988060664959113,2.2988060664959113
2018-01-01 23:13:00,145.03250254066975,157.39913187225378,0,[0.00585],0.0,2.2479637882757415,2.2479637882757415
2018-01-01 23:14:00,144.6498159963657,157.39913187225378,0,[0.00585],0.0,2.2013129981081647,2.2013129981081647
2018-01-01 23:15:00,144.2952461874924,155.55087185807415,0,[0.00585],0.0,2.1584194989540233,2.1584194989540233
2018-01-01 23:16:00,143.96618262773418,155.55087185807415,0,[0.00594167],0.0,2.1188976482808295,2.1188976482808295
2018-01-01 23:17:00,143.6602522782332,155.55087185807415,0,[0.00594167],0.0,2.082403077090929,2.082403077090929
2018-01-01 23:18:00,143.37528771693957,154.00391793752263,0,[0.00594167],0.0,2.048626758989192,2.048626758989192
2018-01-01 23:19:00,143.1093011729318,154.00391793752263,0,[0.00603333],0.0,2.017290158298044,2.017290158298044
2018-01-01 23:20:00,142.86046326243167,154.00391793752263,0,[0.00603333],0.0,1.9881412412557855,1.9881412412557855
2018-01-01 23:21:00,142.62708549179916,152.7915745873032,0,[0.00603333],0.0,1.9609511796277692,1.9609511796277692
2018-01-01 23:22:00,142.4076057774824,152.7915745873032,0,[0.00613333],0.0,1.9355116115566342,1.9355116115566342
2018-01-01 23:23:00,142.20057638358588,152.7915745873032,0,[0.00613333],0.0,1.911632352529775,1.911632352529775
2018-01-01 23:24:00,142.00465379335932,151.9603925344816,0,[0.00613333],0.0,1.8891394707266362,1.8891394707266362
2018-01-01 23:25:00,141.81859012823932,151.9603925344816,0,[0.00624167],0.0,1.8678736583475004,1.8678736583475004
2018-01-01 23:26:00,141.64122580834888,151.9603925344816,0,[0.00624167],0.0,1.8476888444375714,1.8476888444375714
2018-01-01 23:27:00,141.4714832065894,151.56639880980487,0,[0.00624167],0.0,1.8284510050161165,1.8284510050161165
2018-01-01 23:28:00,141.30836109972546,151.56639880980487,0,[0.006375],0.0,1.8100371350114015,1.8100371350114015
2018-01-01 23:29:00,141.15092976293363,151.56639880980487,0,[0.006375],0.0,1.7923343536379486,1.7923343536379486
2018-01-01 23:30:00,140.9983265815385,151.6728827090997,0,[0.006375],0.0,1.7752391197291484,1.7752391197291484
2018-01-01 23:31:00,140.84975208106687,151.6728827090997,0,[0.006525],0.0,1.7586565380889374,1.7586565380889374
2018-01-01 23:32:00,140.70446630112792,151.6728827090997,0,[0.006525],0.0,1.7424997418523733,1.7424997418523733
2018-01-01 23:33:00,140.56178544951675,152.30800667348765,0,[0.006525],0.0,1.726689338051362,1.726689338051362
2018-01-01 23:34:00,140.42107878776505,152.30800667348765,0,[0.0067],0.0,1.7111529060710668,1.7111529060710668
2018-01-01 23:35:00,140.2817657138733,152.30800667348765,0,[0.0067],0.0,1.6958245409972825,1.6958245409972825
2018-01-01 23:36:00,140.14331300971705,153.34088266810792,0,[0.0067],0.0,1.6806444346507663,1.6806444346507663
2018-01-01 23:37:00,140.00523222919392,153.34088266810792,0,[0.00686667],0.0,1.6655584885782933,1.6655584885782933
2018-01-01 23:38:00,139.86707721343666,153.34088266810792,0,[0.00686667],0.0,1.6505179548455855,1.6505179548455855
2018-01-01 23:39:00,139.7284417171723,154.60372637797352,0,[0.00686667],0.0,1.6354791006192806,1.6354791006192806
2018-01-01 23:40:00,139.5889571350749,154.60372637797352,0,[0.00698333],0.0,1.620402893392745,1.620402893392745
2018-01-01 23:41:00,139.44829032437954,154.60372637797352,0,[0.00698333],0.0,1.605254704811341,1.605254704811341
2018-01-01 23:42:00,139.3061415171919,155.93219097837385,0,[0.00698333],0.0,1.5900040309980903,1.5900040309980903
2018-01-01 23:43:00,139.1622423178858,155.93219097837385,0,[0.00704167],0.0,1.574624227718267,1.574624227718267
2018-01-01 23:44:00,139.01635378531583,155.93219097837385,0,[0.00704167],0.0,1.5590922593785406,1.5590922593785406
2018-01-01 23:45:00,138.8682645975634,157.16481188707664,0,[0.00704167],0.0,1.5433884608020867,1.5433884608020867
2018-01-01 23:46:00,138.717789297195,157.16481188707664,0,[0.00705],0.0,1.527496310890769,1.527496310890769
2018-01-01 23:47:00,138.56476661681413,157.16481188707664,0,[0.00705],0.0,1.5114022175976354,1.5114022175976354
2018-01-01 23:48:00,138.40905788398968,158.13704650937203,0,[0.00705],0.0,1.4950953136572402,1.4950953136572402
2018-01-01 23:49:00,138.2505455040508,158.13704650937203,0,[0.00700833],0.0,1.4785672625441397,1.4785672625441397
2018-01-01 23:50:00,138.08913151941124,158.13704650937203,0,[0.00700833],0.0,1.4618120742195675,1.4618120742195675
2018-01-01 23:51:00,137.92473624508904,158.66442919189484,0,[0.00700833],0.0,1.444825930388178,1.444825930388178
2018-01-01 23:52:00,137.75729697889324,158.66442919189484,0,[0.0069],0.0,1.427607018908188,1.427607018908188
2018-01-01 23:53:00,137.58676678363233,158.66442919189484,0,[0.0069],0.0,1.4101553769220114,1.4101553769220114
2018-01-01 23:54:00,137.41311334207634,158.55862032348364,0,[0.0069],0.0,1.392472742652354,1.392472742652354
2018-01-01 23:55:00,137.2363178833617,158.55862032348364,0,[0.00673333],0.0,1.3745624156154803,1.3745624156154803
2018-01-01 23:56:00,137.0563741764099,158.55862032348364,0,[0.00673333],0.0,1.356429124705766,1.356429124705766
2018-01-01 23:57:00,136.87328759143338,157.63256504824395,0,[0.00673333],0.0,1.338078904178499,1.338078904178499
2018-01-01 23:58:00,136.6870742280613,157.63256504824395,0,[0.0065],0.0,1.3195189773019453,1.3195189773019453
2018-01-01 23:59:00,136.49776010406416,157.63256504824395,0,[0.0065],0.0,1.3007576470018263,1.3007576470018263
2018-01-02 00:00:00,136.30538040662793,155.70023150726726,0,[0.0065],0.0,1.2818041936261628,1.2818041936261628
2018-01-02 00:01:00,136.10997880490845,155.70023150726726,0,[0.0062],0.0,1.2626687796259772,1.2626687796259772
2018-01-02 00:02:00,135.91160681625422,155.70023150726726,0,[0.0062],0.0,1.2433623603278512,1.2433623603278512
2018-01-02 00:03:00,135.710323228888,152.68661313887577,0,[0.0062],0.0,1.2238966010016648,1.2238966010016648
2018-01-02 00:04:00,135.50619357999523,152.68661313887577,0,[0.00585],0.0,1.2042838000331415,1.2042838000331415
2018-01-02 00:05:00,135.2992896799465,152.68661313887577,0,[0.00585],0.0,1.1845368172204838,1.1845368172204838
2018-01-02 00:06:00,135.08968918567965,148.95820614551107,0,[0.00585],0.0,1.1646690074100194,1.1646690074100194
2018-01-02 00:07:00,134.87747522215952,148.95820614551107,0,[0.00551667],0.0,1.144694159272516,1.144694159272516
2018-01-02 00:08:00,134.66273604092208,148.95820614551107,0,[0.00551667],0.0,1.124626438090929,1.124626438090929
2018-01-02 00:09:00,134.44556471677362,144.99223531138995,0,[0.00551667],0.0,1.1044803325926367,1.1044803325926367
2018-01-02 00:10:00,134.22605888060087,144.99223531138995,0,[0.005325],0.0,1.0842706055573275,1.0842706055573275
2018-01-02 00:11:00,134.0043204763945,144.99223531138995,0,[0.005325],0.0,1.0640122470363562,1.0640122470363562
2018-01-02 00:12:00,133.78045553842625,141.26634469721475,0,[0.005325],0.0,1.043720429785407,1.043720429785407
2018-01-02 00:13:00,133.55457398447473,141.26634469721475,0,[0.00528333],0.0,1.0234104665269537,1.0234104665269537
2018-01-02 00:14:00,133.32678941604672,141.26634469721475,0,[0.00528333],0.0,1.0030977682382987,1.0030977682382987
2018-01-02 00:15:00,133.09721891975414,138.25852991654804,0,[0.00528333],0.0,0.9827978029954109,0.9827978029954109
2018-01-02 00:16:00,132.86598286602901,138.25852991654804,0,[0.0054],0.0,0.9625260551138979,0.9625260551138979
2018-01-02 00:17:00,132.63320470073296,138.25852991654804,0,[0.0054],0.0,0.9422979842979866,0.9422979842979866
2018-01-02 00:18:00,132.3990107229786,136.33294237977543,0,[0.0054],0.0,0.9221289843456721,0.9221289843456721
2018-01-02 00:19:00,132.16352984621773,136.33294237977543,0,[0.005675],0.0,0.9020343413194142,0.9020343413194142
2018-01-02 00:20:00,131.92689334328657,136.33294237977543,0,[0.005675],0.0,0.8820291914196534,0.8820291914196534
2018-01-02 00:21:00,131.6892345681872,135.39741007002203,0,[0.005675],0.0,0.8621284781373071,0.8621284781373071
2018-01-02 00:22:00,131.4506886525835,135.39741007002203,0,[0.00601667],0.0,0.8423469087394352,0.8423469087394352
2018-01-02 00:23:00,131.21139218341278,135.39741007002203,0,[0.00601667],0.0,0.8226989108460083,0.8226989108460083
2018-01-02 00:24:00,130.97148285722525,135.2458069558889,0,[0.00601667],0.0,0.8031985889422738,0.8031985889422738
